                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1495,                 2.0817,                 1.4397,                0.66107,                0.64846,                0.70667,                0.35131,                 1.5129,                 1.6606,                 1.7464,             0.00041596,             0.00041596,             0.00041596
                      2,                 1.0953,                 1.3886,                 1.3806,                0.60979,                0.69365,                0.73947,                0.42589,                 1.5042,                 1.4498,                 1.6539,             0.00081614,             0.00081614,             0.00081614
                      3,                  1.055,                 1.2181,                 1.3463,                0.77259,                0.75834,                0.82355,                 0.4569,                 1.4745,                 1.1777,                 1.6172,              0.0011998,              0.0011998,              0.0011998
                      4,                 1.0188,                 1.1072,                 1.3133,                0.71375,                0.69602,                0.74435,                0.42115,                 1.5099,                 1.2834,                 1.6469,              0.0011757,              0.0011757,              0.0011757
                      5,                0.98162,                  1.028,                  1.283,                0.78899,                0.79128,                0.86385,                0.52473,                 1.4139,                0.95774,                 1.5201,               0.001151,               0.001151,               0.001151
                      6,                0.93207,                0.94871,                  1.251,                0.75151,                0.73682,                 0.7953,                0.47728,                 1.4348,                 1.1858,                 1.5669,              0.0011263,              0.0011263,              0.0011263
                      7,                0.89784,                0.90309,                 1.2293,                0.79058,                0.80193,                0.87939,                0.52721,                 1.4528,                0.98248,                 1.5413,              0.0011015,              0.0011015,              0.0011015
                      8,                0.88308,                0.85659,                 1.2135,                0.83223,                0.78983,                0.86618,                0.54492,                  1.391,                0.92259,                 1.4876,              0.0010768,              0.0010768,              0.0010768
                      9,                0.86641,                0.82685,                 1.2024,                  0.835,                0.84385,                0.89524,                0.55114,                 1.4098,                0.83869,                  1.477,               0.001052,               0.001052,               0.001052
                     10,                0.85773,                0.80788,                 1.1946,                0.86204,                0.82478,                 0.8897,                0.56016,                  1.351,                0.84592,                 1.4369,              0.0010273,              0.0010273,              0.0010273
                     11,                0.83723,                 0.7618,                 1.1829,                0.82754,                 0.8448,                0.89106,                0.56359,                 1.3342,                0.82856,                 1.4185,              0.0010025,              0.0010025,              0.0010025
                     12,                0.81726,                0.74491,                 1.1729,                0.83407,                0.83652,                0.89607,                0.56246,                 1.3702,                0.80245,                 1.4691,             0.00097775,             0.00097775,             0.00097775
                     13,                0.81744,                0.72968,                 1.1701,                0.88475,                0.84475,                0.90239,                0.56715,                  1.361,                0.79157,                 1.4603,               0.000953,               0.000953,               0.000953
                     14,                0.80334,                0.71146,                 1.1637,                0.85742,                0.84248,                0.89684,                0.55809,                 1.3878,                  0.809,                 1.4764,             0.00092825,             0.00092825,             0.00092825
                     15,                0.78854,                0.68606,                 1.1566,                0.85771,                0.86449,                0.91139,                0.57498,                 1.3452,                0.77464,                 1.4367,              0.0009035,              0.0009035,              0.0009035
                     16,                0.78141,                0.67506,                 1.1454,                 0.9061,                0.85785,                0.90937,                0.57186,                  1.369,                0.81159,                  1.449,             0.00087875,             0.00087875,             0.00087875
                     17,                0.77321,                0.66369,                 1.1393,                0.89276,                0.86337,                0.91795,                0.57666,                 1.3663,                0.77436,                 1.4329,               0.000854,               0.000854,               0.000854
                     18,                0.76064,                0.63933,                 1.1329,                0.87768,                0.88205,                 0.9219,                0.59186,                  1.345,                0.74181,                 1.4185,             0.00082925,             0.00082925,             0.00082925
                     19,                0.75026,                0.63591,                 1.1256,                0.88688,                0.88046,                0.91804,                0.58552,                 1.3428,                0.74462,                 1.4245,              0.0008045,              0.0008045,              0.0008045
                     20,                0.75489,                0.62525,                 1.1279,                0.87857,                0.88635,                0.92416,                0.58123,                 1.3685,                 0.7132,                 1.4375,             0.00077975,             0.00077975,             0.00077975
                     21,                0.73881,                0.61079,                 1.1162,                0.89182,                0.88697,                0.92475,                0.58122,                 1.3841,                0.69727,                 1.4446,               0.000755,               0.000755,               0.000755
                     22,                0.73376,                0.60059,                 1.1134,                0.88245,                0.87879,                0.92483,                0.59084,                 1.3256,                0.71297,                 1.4144,             0.00073025,             0.00073025,             0.00073025
                     23,                0.72783,                0.59411,                 1.1104,                0.85555,                0.87742,                0.91376,                0.59476,                 1.3402,                0.73052,                 1.3955,              0.0007055,              0.0007055,              0.0007055
                     24,                0.71964,                0.57775,                 1.1013,                0.90743,                0.87812,                0.93096,                0.59462,                  1.334,                0.69137,                 1.4045,             0.00068075,             0.00068075,             0.00068075
                     25,                0.70354,                0.56364,                 1.0942,                0.89313,                0.88411,                0.92524,                0.59775,                 1.3358,                0.68307,                 1.4078,               0.000656,               0.000656,               0.000656
                     26,                0.70208,                0.55777,                 1.0938,                0.91075,                0.87319,                0.93045,                  0.588,                 1.3713,                0.67544,                  1.424,             0.00063125,             0.00063125,             0.00063125
                     27,                0.69615,                  0.548,                 1.0882,                 0.8879,                0.88473,                0.92093,                0.59114,                 1.3795,                0.67689,                 1.4447,              0.0006065,              0.0006065,              0.0006065
                     28,                0.69243,                0.53803,                  1.089,                0.89307,                 0.8918,                0.92921,                0.59552,                 1.3504,                0.69821,                 1.4202,             0.00058175,             0.00058175,             0.00058175
                     29,                 0.6779,                0.52475,                  1.078,                0.90054,                0.88243,                0.92472,                  0.588,                 1.3659,                0.67634,                 1.4557,               0.000557,               0.000557,               0.000557
                     30,                0.68293,                0.53058,                  1.082,                0.89575,                0.89861,                0.93357,                0.60192,                 1.3473,                0.65438,                 1.4153,             0.00053225,             0.00053225,             0.00053225
                     31,                0.66751,                0.50737,                  1.074,                0.89762,                0.87407,                0.92576,                0.59526,                 1.3545,                0.67286,                 1.4369,              0.0005075,              0.0005075,              0.0005075
                     32,                0.66493,                0.50491,                 1.0733,                0.87775,                0.89477,                0.92541,                0.59731,                 1.3554,                0.65885,                  1.437,             0.00048275,             0.00048275,             0.00048275
                     33,                0.65933,                0.49444,                 1.0675,                0.88501,                0.88892,                0.92002,                0.58864,                 1.3989,                0.66565,                 1.4547,               0.000458,               0.000458,               0.000458
                     34,                0.64336,                0.49384,                 1.0592,                0.90594,                  0.883,                0.93257,                0.59866,                 1.3443,                0.66342,                 1.4033,             0.00043325,             0.00043325,             0.00043325
                     35,                0.64112,                0.47447,                 1.0561,                0.89924,                  0.894,                0.92665,                0.60131,                 1.3607,                0.64187,                 1.4357,              0.0004085,              0.0004085,              0.0004085
